unipolar, monopolar;Dualismen;Tripel, Triniäten;4;5;6;7;8;9;10
enby;Gut, böse;Induktion, Deduktion, Abduktion;;big five Persönlichkeitstest;6 Dimensionen der Moderne und deren umgekehrte Richtung;7 katholische Todsünden;;;
Existenz;lieb, ungezogen;Eingabe, Ausgabe, Verarbeitung;;Charaktertypen in Psychoanalyse und Tiefenpsychologie;;7 europäische Tugenden;;;
Das Sein;gut, schlecht;Analyse, Synthese, Dialektik;;;;;;;
Universum;wahr, falsch;Einleitung, Hauptteil, Schluss;;;;;;;
Gott;hell, dunkel;Redoxreaktion, Oxidation, Reduktion;;;;;;;
Wirklichkeit;bunt, eintönig;Liebe, Hass, Gleichgültigkeit;;;;;;;
die Zahl 1;Harmonie, Kontrast;Freund, Feind, Neutral;;;;;;;
das Absolute;heiß, kalt;Größer, Gleich, Kleiner;;;;;;;
100,00 %;links, recht bzw. oben, unten, bzw. hinten, vorne;Gott, Sohn, heiliger Geist;;;;;;;
das Totale;früher, später;Zerstörung, Erhaltung, Erschaffung (Brahma, Vishnu, Shiva);;;;;;;
der Punkt;Gute, schlechte Gefühle;Vater, Mutter, Kind;;;;;;;
;weise, närrisch;Server, Client, Peer to Peer;;;;;;;
;nett, frech;Firewall: Input, Output. Fordward;;;;;;;
;höflich, dreist;Physikalische Induktion: Bewegung, Elektrizität, Magnetismus;;;;;;;
;gebildet, ungebildet;Exposition, Klimax, Konklusion;;;;;;;
;männlich, weiblich;Verhalten von Hühnern: Offensive, Defensive, Alternative;;;;;;;
;Gott, Teufel;Null, positive Zahlen, negative Zahlen;;;;;;;
;Geist, Materie;;;;;;;;
;Energie, Materie;;;;;;;;
;Klein, Groß;;;;;;;;
;schön, hässlich;;;;;;;;
;yin, yang;;;;;;;;
;Harmonie, Streit;;;;;;;;
