Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
Magie (schwarze und oder weiße);Jungfrau;Wenn man noch keinen Sex hatte, hat man es so bitter nötig, dass man nur noch lügt;Jesus sagte: Wer die Deutung dieser Worte findet, der wird den Tod nicht schmecken. ;Einzelperson;Identität;weiße und Schwarze, vielleicht Voodoo, vielleicht Wicca, Hexentum;-;?;-;Absicht;bestehen können;Nüchternheit;Willensstärke;Synästhesie;-;?;-;siehe unten;identisch sein, macht etwas einzigartig;inneres Licht;Zellbestandteile;-;kein höheres Konzept;?;Die Welt selbst;-;gespiegelt;?;kein Anführer;Individualist;zurück in Einsamkeit ziehen, weil man es will;?;jegliche Musik und unspezifische Musik;?;alles unteilbares ganzes;Punkt;Punkt;;;;;sollen;Überhaupt irgendetwas wollen, um gleich zu sein;?;Was ist die Welt : 4. eine Handlung;Omega;Selbstständigkeit, Der Magier lernt Emotionen und Gedanken zu kontrollieren und zwar als erstes bei sich selbst;-;;;Einzelperson, nicht sehr dominierend;weiße Magie;schwarze Magie;Für einen ist seine Identität wichtig.;Objekte identifizieren;;?;?;übernehmen;;;;;-;Calculatory (0);;;Sehr sehr gut;?;Utopie bzw. Dystopie;Wirtschaften, um andere Menschen zu manipulieren. Wirtschaften um Kinder zu bekommen. Wirtschaftskraft okay. Wirtschaften, weil man unzufrieden mit sich selbst ist.;wahrscheinlich vielleicht Propheten;Ausgangssituation (n-te Wurzel aus 1 = wenn irrational (geht nicht));die Welt erkunden;?;?;1;Erkunden;Eigentliches;Unordnung
Diespiter (Jupiter 1.0);Löwe;Anführer;Jesus sagte: Wer suchet, soll nicht aufhören zu suchen, bis er findet, und wenn er findet, wird er verstört sein, und wenn er verstört ist, wird er staunen und wird über alles herrschen können. Und nachdem er über alles herrschte, wird er zur Ruhe kommen. ;Stadtstaat;Universalien;Zeus, Odin, Thor, Indra, Scientology, Jupiter 3.0 Religion 10, Ra (antikes Ägypten),  Friedrich Nietzsches Zarathustra;-;?;-;Können;behaupten können;Triumph;gute Gene, Phänotyp;?;-;?;-;siehe unten;Gemeinsamkeiten  mit allen Lebewesen, befähigt etwas;äußeres Licht;Zelle;-;kein höheres Konzept;?;Die Welt selbst;-;Ideal;?;Anführer mit guten Genen;Stadtstaat Anführer;demütigende Gruppenvergewaltigung, weil man es will;sexuelle Selektion;Musik mit Körperkultur wie Techno;Antike Rechtsphilosophie;alle Dualismen;Linie;Linie;;;;;möglich;gleich zu sein, um zu existieren;sich selbst etwas vormachen;Was ist die Welt : 4. eine Handlung;Alpha, Sigma;Stärke aller abstrakten Arten, davon alle als konkrete Art;-;;;durch Männer dominiert;Religion 10 d.h. Jupiter 3.0, Friedrich Nietzsches Zarathustra;Diespiter (= Jupiter 1.0), Scientology;Für eine Nation sind die Erbanlagen der Bürger wichtig.;Gemeinsamkeiten;seiner eigenen Strukturgröße (<SG>) etwas vormachen;?;?;überliefern;;;;;-;automatic (1), sensory or motor (2);;;sehr sehr schlecht;?;Utopie bzw. Dystopie;Wirtschaften, weil man das will, was alle Lebensformen wollen. Mittel-gut für Wirtschaftskraft. Man kann sich sowieso fortpflanzen, wenn man das wollte: Deshalb nicht unbedingt wirtschaften, um sich fortpflanzen zu können oder attraktiv zu sein.;Archonten;Ausweglosigkeit;Die Welt zu erkunden trifft auf Grenzen, so dass es nun darum geht, ob man Fähigkeiten hat oder keine;?;Universalien sind eine Art Vielartiges.;n;Erkunden;Wesentliches;Ordnung
altes Testament der Bibel;Krebs;die Religion der Nützlichkeit - Krebse haben nützliche Werkzeuge als Hände;Jesus sagte: Wenn eure Führer euch sagen: Sehet, das Königreich liegt im Himmel, so werden die Vögel des Himmels vorausgehen. Wenn sie euch sagen: es ist im Meer, so werden die Fische vorausgehen. Doch das Königreich ist in eurem Inneren und es ist außerhalb von euch. Wenn ihr euch selbst erkennt, dann werdet ihr erkannt, und ihr werdet wissen, dass ihr die Kinder des lebendigen Vaters seid. Aber wenn ihr euch nicht erkennt, dann werdet ihr in der Armut sein und seid die Armut.;12 Stämme;Existenzialien;?;-;?;-;Nutzen;verwenden können;Beharrlichkeit;Wissen;?;-;?;-;siehe unten;zum Überleben, nützen;nahes Licht;Mehrzeller;-;kein höheres Konzept;vielleicht Workaholic;Die Welt selbst;-;Naturgetreu;?;weiser Anführer;Handwerker, Wissensverwalter;Stalking, weil man es will;?;nützliche Musik wie Rock;?;alle Trinitäten;Dreieck;Dreieck;;;;;benötigen;existieren, um etwas zu verändern;anderen etwas vormachen;Was ist die Welt : 4. eine Handlung;Sigma;Resistenz (d.h. Beständigkeit, nicht wirklich Rebellion) im weitest gehenden Sinn;-;;;durch Männer dominiert;;altes Testament;Für 12 Stämme ist ihre Existenz wichtig.;konkretes Vorhandensein;anderen Strukturgrößen etwas vormachen;?;?;Furcht;;;;;-;sensory or motor (2), circular sensory-motor (3);;;sehr gut;Merkantilismus;sehr gut;Wirtschaften für die Existenzsicherung, menschentypisches (3,8,10) Wirtschaften,beharrliches Wirtschaften, ist mittel akzeptabel für Wirtschaftskraft, Fokus auf die Hände also ggf. Handwerker, Arbeiten um eine Familie oder eine noch nicht vorhandene Familie zu ernähren.;Propheten;Chance;Die Fähigkeiten bilden sich nun so aus, dass man in die Natur eingreift und sie gestalten kann;?;?;∞;Erkunden;Eigentliches;Unordnung
Jupiter (Jupiter 2.0);Zwillinge;Das Zeichen der Zwillinge ähnelt der römischen 2 II;Jesus sagte: Der Mensch, alt an Tagen, wird nicht zögern ein kleines Kind von sieben Tagen nach dem Ort des Lebens zu fragen und er wird leben. Viele der Oberen werden die Letzten sein und sie werden alleine dastehen. ;Imperium;Veränderung;(Vielleicht: Zeus, Odin, Thor, Indra), Jupiter 3.0, Religion 10, Eckhart Tolle, Ra (antikes Ägypten);-;?;-;Erschaffen bzw. machen;Maß halten können;Besonnenheit (d.h. insbesondere Mäßigung);Entschiedenheit;?;-;?;-;siehe unten;keine Primzahl;allgegenwärtiges Licht;Organ;Machen ist die Anwendung von Absicht, Können, Nutzen;kein höheres Konzept;?;Die Welt selbst;-;kontinuierlich;?;Anführer der Maß hält;Imperator, Meister;irgend einen anderen nehmen, weil man es kann;?;?;Jupiter - Jus Pater - Gesetztes-Vater - Jupiter war einer der Könige von Rom;Strukturell zentrale Angelegenheiten der Zeitachse;Quadrat;Quadrat;;;;;schaffen;verändern, um infrage zu kommen;niemanden etwas vormachen;Was ist die Welt : 4. eine Handlung;Sigma;Meister zu sein, im weitestgehenden Sinn;-;zeitlich;räumlich;durch Männer dominiert;Eckhart Tolle, Religion 10 d.h. Jupiter 3.0;Jupiter (=Jupiter 2.0);Für ein Imperium ist wichtig, was aus ihm wird.;Abfolge;keinen Strukturgrößen etwas vormachen;?;?;aufschauen;;;;;-;Sensory-motor (4);;;Sehr schlecht;?;Utopie bzw. Dystopie;besonnenes Wirtschaften mit besonders langfristigem Denken und Betrachtung der Zeitachse, ist ziemlich gut für Wirtschaftskraft, wirtschaften aus dem Hauptmotiv, dass man etwas tun will, weil man überhaupt ein Macher ist;Archonten;andere Menschen und man selbst, alle, sind in Illusionen verhaftet;Die Gestaltung der Welt entwickelt sich zu einem Handlungsstrang;?;Linie;n^m ;Erkunden;Wesentliches;Ordnung
Satanismus;Stier;Geltung anstreben, ist wie mit einem Horn wo dagegen rennen;Jesus sagte: Erkenne das, was vor dir ist, und das, was vor dir verborgen ist, dies wird dir enthüllt werden. Denn es gibt nichts Verborgenes, was nicht offenbar werden wird. Und es wird nicht länger vergraben sein, was nicht aufsteigen wird. ;Einzelperson;Ganzheit;Wicca, Bahai;-;?;-;Selbstsucht;Geltung;Erhabenheit;Intelligenz;?;-;Jupiter 3.0 Religion 10;-;siehe unten;Unversehrtheit, etwas gilt;Nachttisch-Licht;Zellbestandteile;Ohne deine Geltung will niemand kooperieren oder strategisch anders werden;kein höheres Konzept;Psychopath, Antisoziale;Konzepte des Gestaltens der Welt;-;Axiome;?;kein Anführer;Lehrer, Professor, Videostar, Musikstar, Stars und Influencer, Celebrities, Kommunisten, Hexen;Vergewaltigung, weil man es will;sexuelle Selektion;Mancher Hip Hop, mancher Death-Metal;?;Big five – 5 Persönlichkeiten in der Psychologie, 5 Charaktertypen in der Psychoanalyse und Tiefenpsychologie;Pentagramm;Pentagon;;;;;taugen;Infrage kommen für die Wertung;sich gegenseitig etwas vormachen;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Alpha, Omega;Erhöhung der Berücksichtigung des Menschen;-;;;Mann oder Frau könnte dominieren, Einzelperson;Satanismus, Religion 10 d.h. Jupiter 3.0;Satanismus;Für einen ist seine Unversehrtheit wichtig.;Existenzquantor;seinen (<SG>) und anderen Strukturgrößen gegenseitig etwas vormachen;für ungültig erklären;schikanieren;nur an sich selbst glauben und nichts anderes;;;;;-;Nominal (5), sentential (6);;;Ziemlich gut;Kommunismus 1.0;Utopie bzw. Dystopie;Kommunismus: führt zu Armut, hat aber andere Vorteile, wie z.B. weniger Verschleiß an Arbeitern;halb Archon halb Prophet;Beschränktheit;In dem Handlungsstrang triffst du auf Hindernisse, so dass es nun die Frage gibt, ob du unsichtbar bist, oder ob zählst und infrage kommst und man dich nicht einfach übergehen kann;?;?;1;Fassen;Eigentliches;Unordnung
Judentum 2.0 (u.a. babylonischer Talmud);Widder;Juden als schwarze Schafe, Kampf mit Hörnern, wie Aug um Aug Zahn um Zahn;"Jesus Jünger fragten ihn und sagten zu ihm: Willst du, dass wir fasten? Wie sollen wir beten? Sollen wir Almosen geben? Welche Speisenordnung sollen wir einhalten? Jesus sagte: Lügt nicht und tut nicht das, was ihr hasst, weil alles ist im Angesicht des Himmels enthüllt; denn es gibt nichts Verborgenes, das nicht offenbar wird und es gibt nichts Verhülltes, das bleiben wird, ohne enthüllt zu werden. ";Nation / Gruppierung;Wert;Buddhismus, Hinduismus;-;Liebe zu einer Angelegenheit: Vorteile selbst, Gefühle selbst, Karma selbst;-;Vorteil;Reichtum;Selbstwert (jüdisch - basierend auf Materie zwischen Menschen) (buddhistisch - basierend auf  Emotionen zwischen Menschen) (Hinduismus - basierend auf Ethik zwischen Menschen);Weisheit;Empathie;-;Jupiter 3.0 Religion 10;-;siehe unten;keine Primzahl;Raumlicht;Zelle;-;kein höheres Konzept;Soziopath, Spielsüchtiger, Narzisst;Konzepte des Gestaltens der Welt;-;Abduktion;?;egoistischer Anführer;Manager, Banker, Richter, Soziologe, Volkswirt, Polizist;berechnende Gruppenvergewaltigung, weil man kann;sexuelle Selektion, weniger über Brutpflege;Buddhistische Länder: z.B. sexuelles Mitgefühl oder andere emotionale Werthaftigkeit, verwechselbar mit Liebe, jüdische Musik;Juden haben nicht selten den Beruf Richter (babylonischer Talmud);6 Formen der Liebe, 6 Dimensionen der Soziologie;Hexagramm;Hexagon;;;weise;idiotisch;einschätzen;Werte für die Optimierung;sich in eine missliche Lage versetzen;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Alpha;Erhöhung des Wertes des Menschen;-;;;nicht eindeutig;Buddhismus, Hinduismus, Religion 10 d.h. Jupiter 3.0;Judentum;Für eine Nation ist der Wert deren Menschen wichtig.;Wertzuweisung;seine Strukturgröße (<SG>) in eine missliche Lage versetzen;Herabsetzung;Nicht-Anerkennung;übernehmen;;;;;-;Preoperational (7);egoistisch (entweder: materiell/ emotional/ ethisch);altruistisch;ziemlich schlecht;Marktwirtschaft bzw. Kapitalismus (=Merkantilismus 2.0);ganz gut, weil Vielfacher von 3;Kapitalismus: Egoismus, führt zum größten Wirtschaftswachstum, hat aber die damit verbundenen Nachteile;halb Archon halb Prophet;missliche Lage;Dass man dich nun nicht einfach nicht mehr so übergehen kann wird unwichtiger. Wir bilden eine Gemeinschaft und kümmern uns um unsere Vorteile und Bedürfnisse;?;Werte sind etwas Vielartiges. Universalien kann man ggf. einen Wert zuschreiben;n;Fassen;Wesentliches;Ordnung
Christentum 1.0 bzw. neues Testament der Bibel;Fische;Fische riechen nach Sperma. Wenn Liebe selbstlos ist kann Sex okay werden, sonst nicht;Jesus sagte: Selig ist der Löwe, der den Mensch isst, damit der Löwe Mensch werden kann. Und närrisch ist der Mensch, den der Löwe frisst, denn der Löwe wird weiterhin Mensch werden. ;Supranationales Gebilde;das Gute;auch Religion 10, Jupiter 3.0;1. Wolf, Jesus 1.0;selbstlose Liebe, stärkste Liebe – von 6;Agape;Selbstlosigkeit;Macht;Würde;Metaweisheit;?;1;Zoroastrismus;-;siehe unten;Anführer, macht etwas gut;Laternenlicht;Mehrzeller;-;kein höheres Konzept;Cuckold;Konzepte des Gestaltens der Welt;7 ist gegen 1, weil die 7 die Hoheit über so etwas wie die 1 haben will und Personen der 1 bringen Personen der 7 aus dem Konzept.;Induktion;Nächstenliebe;guter Anführer;König, Präsident, Kanzler, Kapitän;Selbstmord, weil man es will, Vernichtung des Selbst ;sexuelle Selektion + Selektion über Brutpflege;Liebesballaden;?;7 Todsünden, 7 europäische Tugenden;Heptagramm;Heptagon;intrinsisch gut, extrinsisch böse, Absicht, keine Modallogik;intrinsisch böse-rebellisch extrinsisch gut, Absicht, keine Modallogik;Meta-weise;Meta-idiotisch;vergüten;Werte der Optimierung für unsere Gesellschaft;sich nicht helfen können;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Alpha, Omega;Führungsqualitäten;-;;;Frau dominiert eher;Zoroastrismus, Religion 10 d.h. Jupiter 3.0;Christentum;Für die EU und den Papst ist wichtig, dass deren Länder gut regiert werden.;Fragestellung selbst und überhaupt nach Optimierungs-Gegenständen, nicht dessen Beantwortung;seiner Strukturgröße (<SG>) nicht helfen;Schuld;?;glauben;;;;;-;Primary (8);;;gut;?;funktioniert vielleicht einigermaßen in Christlichen Ländern;altruistisches Wirtschaftssystem: führt zu Armut, beste Situation für Menschen die intrinsisch selbstlos sind, wie z.B. Könige und wahre Anführer, gemeinnützige Vereine, helfende supranationale Organisationen, Verwandtschaft zum Kommunismus (Star Trek Wirtschaftssystem), weil genau ein Gegenteil vom Kapitalismus ist, da es auch benachbart zur 6 ist. ;halb Archon halb Prophet;Hilfslosigkeit;Das Volk findet sich zusammen und bildet eine Herrschaft, eine Regierung;?;?;∞;Fassen;Eigentliches;Unordnung
Islam;Wassermann;Männerdominierte Fortpflanzung, kodiertes Wort Wasser, menschliche Eigenschaft, wasserMANN;Jesus sagte: Der Mensch gleicht einem weisen Fischer, der sein Netz ins Meer warf und er zog es aus dem Meer voller kleiner Fische. Unter ihnen fand er einen großen, schönen Fisch. Der weise Fischer wirft alle kleinen Fische ins Meer und wählt den großen Fisch ohne Anstrengung. Wer zwei gute Ohren hat, um zu hören, sollte besser zuhören! ;Militärbündnis;das Sein;möglicherweise Religion 11;-;besitzergreifende Liebe, zweitstärkste Liebe – von 6;Mania;Selbstgerechtigkeit;Kontrolle;Ehre;Strategie;?;2;Taoismus, Konfuzianismus, Shinto;-;siehe unten;keine Primzahl;Ampellicht;Organ;Strategie ist Anwendung der Weisheit (6);kein höheres Konzept;Zwangsneurotiker;Konzepte des Gestaltens der Welt;8 ist gegen die 2, weil das Gesetz der besitzergreifenden Liebe für jeden herrschen soll und das in Konflikt damit gerät, dass die Fähigen in der Fortpflanzung den Ton angeben. Der Selbstgerechte beneidet ggf. den, der sich einfach so sowieso fortpflanzen kann. Ist ist über dieses Konzept erbost.;Deduktion;Bruderschaft;böser Anführer;Kriegsherr, Admiral, General, Pfandleihausbetreiber;Mord, weil man nicht anders kann (4 - machen);Selektion über Brutpflege, jedoch nur theoretisch;islamische Heulmusik wo man in Liebe ausgeliefert ist;Selbstgerechtigkeit;?;Oktagramm;Oktagon;;;;;beurteilen (Taoismus: Harmonie, Konfuzianismus: Reputation, Shinto: Korrektheit);Unsere Gesellschaft für die Welt;?;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Alpha, Beta;Führungsstärke;-;;;durch Männer dominiert;Toaismus, Konfuzianismus, Shinto;Islam;Für die Nato ist das ganze Sein relevant.;Welt, System;;Ehrverletzung;Scham;unterordnen;;;selbstgerecht sein wollen, Eine bestimmte Gesellschaft wünschen zu sein;nicht selbstgerecht sein wollen, gesellschaftskritisch;-;Concrete (9);;;schlecht;Wirtschaftssystem basierend auf Besitzrecht;funktioniert bestens, weil es eine menschliche Eigenschaft ist;selbstgerechtes, besitzegreifendes, menschentypisches (3,8,10), territorialies Wirtschaften, ist ziemlich gut für die Wirtschaft, man macht sich etwas vor, eher nicht anderen ;Prophet;Beleidigung / Unzumutbarkeit;Die Herrschaft tritt auf Grenzen, so dass man sich zu einem Militärbündnis verhärtet;?;Dimensionen;n^m ;Fassen;Wesentliches;Ordnung
Bahai;Steinbock;Steinböcke lecken Salz: Bahai die Religion der sexuellen Liebe;"Jesus sagte: Siehe, da ging ein Säher hinaus, nahm eine Handvoll Samen und warf sie aus. Ein Teil davon fiel auf den Weg; die Vögel kamen, um sie aufzusammeln. Andere fielen auf den Felsen und schlugen keine Wurzeln in der Erde und brachten auch keine Ähren hervor. Und andere fielen auf die Dornen, sie erstickten die Saat und Würmer fraßen sie. Und wieder andere fielen auf die gute Erde und ergaben eine gute Frucht. Sie brachte sechzig und hundertzwanzig des Maßes. ";UN;Einheit;möglicherweise Religion 11;-;sexuelle Liebe, drittstärkste Liebe – von 6;Eros;Zweck;Vereinigung;Bahai     (Anmut - zusammen mit der 5 (hauptsächlich Bahai))     (wahrscheinlich  respektvoll sein - zusammen mit der 6)     (Liebreiz + Gutmütigkeit - zusammen mit der 7)    (Bluffen können - nicht Bahai, sondern nur die 9);Kooperation;?;3;Bahai auch als gleichförmiges Polygon;-;siehe unten;keine Primzahl;Stadtlicht;Organe;Kooperation ist Anwendung der Metaweisheit (7);kein höheres Konzept;?;Konzepte des Gestaltens der Welt;9 ist gegen die 3, weil sich niemand über den Nutzen übervorteilen sollte;Implikation;Sympathie;Anführer, der dir gibt, was du willst, sei es gut oder nicht;UN Anführer, Händler, Reiseleiter, Demokrat;häufige Partnerwechsel, weil es nutzt;sexuelle Selektion, theoretisch;sympathische Musik;?;?;Nonagramm;Nonagon;;;kooperativ;unkooperativ;das Mittel: d.h. bzw.: formen;Unsere Welt für richtigen Zustand;?;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Sigma;Talent Sachen zwischen Menschen zu regeln;-;;;Frau dominiert eher;Bahai;;Für die UN ist Einheit wichtig.;Allquantor;;?;?;erkennen;;;;;Chef der Sonnenreligionsgründer;Abstract (10);;;ein wenig gut;?;Utopie bzw. Dystopie, funktioniert vielleicht ein wenig, weil ein (kleiner) Vielfacher von 3;Wirtschaften für einen höheren Zweck, man macht anderen etwas vor, sich selber eher nicht, ist nicht so sehr gut für Wirtschaftswachstum, aber besser als ein altruistisches Wirtschaftssystem, wirtschaftlich sein wollen um eine Einheit auf seinem Planeten oder Mond herzustellen ;Prophet;ein Problem lösen müssen;alle Militärbündnisse vereinen (die Religion des höheren Zwecks);?;?;1;Aneignen;Eigentliches;Unordnung
Jupiter 3.0, Religion 10;Schütze;Chimäre halb Pferd halb Mensch, gemeint ist halb Mensch (10), halb Hund (7), Pfeil und Bogen bedeutet, macht verliebt, schießt ins Herz. Pferd ist aber „7 mit 10“ und Mensch u.a. 10, also mehr 10 als 7, 10 dominiert über 7!;Jesus sagte:  Ich habe ein Feuer über die Welt gegossen, und seht, ich wache darüber, bis es lodert. ;Planetenerhaltungs-Regierung;Wahrheit;?;2. Hund, Jupiter 3.0;freundschaftliche Liebe, viertstärkste Liebe – von 6;Philia;Bedeutung;Bedeutung;Integrität;Rückrat;Sonnen-Transzendenz;4;vielleicht Elon Musk;-;Optimierungs-Egoismus, züchtet in Richtung besser;keine Primzahl;Sonnenlicht;ganzes Lebewesen;-;gab es mehrfach;?;Transzendenz empfangen;10 ist gegen die 4, weil Freundschaft nicht dazu führen solle, dass Kinder deiner Frau, die deiner Freunde sind.;Korrekt;Selbstliebe;Anführer der nur nach richtig und falsch urteilt;Sonnen-System-Himmelskörper-Regierer, M.I.N.T.: Mathematiker, Informatiker, Naturwissenschaftler, Techniker, Sonnenreligion-Religionsgründer;noch andere Freunde dazu nehmen, weil man es kann;irgendwie Brutpflege Selektion;Trance-Musik;Logik und künstliche Intelligenz können Gesetze formalisieren und Urteile fällen;?;Dekagramm;Dekagon;;;Optimal + ehrlich;unoptimal + unehrlich;definieren;richtiger Zustand für alles anderes was noch möglich ist;dem übergreifenden System etwas vormachen;Wie ist die Welt: Sie soll Gerecht (8) und Geeint (9) sein;Sigma;Verbesserungs-Talent;-;;;durch Männer dominiert;;Religion 10 d.h. Jupiter 3.0;Für einen Himmelskörper um die Sonne (Planet, Mond, Sternenbasis) ist Wahrheit wichtig.;Wahrheit;dem übergreifenden System seiner Strukturgröße (<SG>) etwas vormachen;Unfreundlichkeit;?;verstehen;Es zählt nur das was wirklich stimmt;Es zählt, was offiziell stimmt;;;Chef der Mondreligionsgründer;Formal (11);;;ein wenig schlecht;Kommunismus 2.0 bzw. auf pure, bloße, totale Optimierung überhaupt ausgelegt;würde bestens funktionieren bei menschlichen Lebensformen;"rein Kalkulierendes, rationales Wirtschaften, unabhängig davon ob man profitiert: Wirtschaften um alle auf einem Planeten oder Mond miteinander zu verbinden. Wirtschaften, um Bedeutung in der Welt zu erlangen. Wirtschaften aus der Vorbedingung Dadurch sind alle in der Lage, den Himmelskörper zu erhalten (Klimaschutz, Umweltschutz, selektiven teilweisen Vernichtungsschutz). Das entspricht nicht dem Willen der Erhaltung bzw. der Unversehrtheit (1*5). Mittelmäßig gut für Wirtschaftskraft. Rationales vernünftiges Wirtschaften, z.B. grüne Ökonomie, transparentes Wirtschaften - d.h. eher keine Fälschungen von Bilanzen von Unternehmen. Wirtschaften, wenn man die Welt vernünftiger machen will. Menschentypisches Wirtschaften (3,8,10)  mit sich selbst im Reinen zu sein. (Google: ""Don't be evil."", ""Do the right thing."") ";Archonten;Es fehlt ein politisches System;alles zerstreuen (Freunde sind mal hier mal da, wie es so bei Menschen sein kann.);Meschen (3,8,10) denken in der Mathematik (10) formal (10). Die 10 setzt die Evolution in Formeln (10).;Wahrheiten sind Vielartig. Werte haben einen Grad an Wahrheit. (und ggf. vielleicht Universalien);n;Aneignen;Wesentliches;Ordnung
